t_s,co_ppm,no2_ppm,temp_c,rh_pct
3730,8.9,6.406,30.16,84.24
3735,8.2,6.404,30.15,84.2
3740,9.5,6.402,30.14,84.23
3745,10.2,6.656,30.13,84.21
3750,8.8,6.15,30.1,84.18
3755,8.8,6.395,30.12,84.17
3760,9.4,6.393,30.12,84.24
3765,8.8,6.648,30.1,84.31
3770,7.8,6.389,30.16,84.19
3775,9.4,6.644,30.14,84.27
3780,10.5,6.642,30.15,84.21
3785,9,6.384,30.15,84.21
3790,7.8,6.639,30.12,84.26
3795,10.1,6.637,30.15,84.19
3800,10.8,6.635,30.13,84.26
3805,10,6.634,30.15,84.25
3810,8.3,6.375,30.13,84.24
3815,8.6,6.63,30.13,84.21
3820,7.4,6.629,30.14,84.07
3825,10.8,6.895,30.16,84.35
3830,8.3,6.626,30.13,84.21
3835,9.2,6.367,30.12,84.19
3840,8.9,6.623,30.14,84.23
3845,9.9,6.621,30.13,84.19
3850,7.9,6.363,30.17,84.27
3855,7.9,6.886,30.14,84.14
3860,7.9,6.885,30.16,84.28
3865,8.8,6.616,30.14,84.22
3870,10.7,6.882,30.12,84.2
3875,7.3,7.159,30.16,84.27
3880,9.5,6.88,30.14,84.22
3885,8.5,7.157,30.16,84.28
3890,8.1,6.877,30.12,84.27
3895,7.5,7.154,30.13,84.17
3900,8.8,6.875,30.16,84.21
3905,9.1,6.874,30.13,84.28
3910,7.5,6.101,30.12,84.21
3915,9.4,6.872,30.14,84.26
3920,8.1,7.149,30.14,84.24
3925,7.2,7.148,30.13,84.35
3930,8.4,6.869,30.15,84.25
3935,8.1,7.436,30.13,84.24
3940,7.7,6.867,30.13,84.25
3945,8.4,6.866,30.11,84.19
3950,6.4,6.865,30.13,84.22
3955,7.7,6.339,30.12,84.17
3960,6.6,6.863,30.13,84.22
3965,9,6.862,30.15,84.13
3970,9.7,6.861,30.13,84.15
