t_s,co_ppm,no2_ppm,temp_c,rh_pct
3490,131.6,0,29.39,64.48
3495,116.7,0.257,29.37,64.55
3500,131.6,0.159,29.38,64.51
3505,126.5,0.202,29.39,64.46
3510,126.5,0.301,29.39,64.54
3515,126.5,0,29.36,64.55
3520,116.7,0,29.37,64.5
3525,126.5,0,29.39,64.59
3530,126.5,0.115,29.41,64.49
3535,131.6,0.313,29.37,64.55
3540,131.6,0.399,29.41,64.56
3545,126.5,0.247,29.4,64.58
3550,126.5,0.368,29.42,64.59
3555,121.5,0,29.41,64.52
3560,121.5,0,29.41,64.47
3565,131.6,0.194,29.38,64.52
3570,126.5,0.326,29.37,64.48
3575,121.5,0.159,29.39,64.58
3580,121.5,0,29.4,64.46
3585,131.6,0.353,29.42,64.54
3590,116.7,0.125,29.41,64.56
3595,126.5,0,29.39,64.56
3600,126.5,0,29.4,64.57
3605,126.5,0,29.42,64.54
3610,121.5,0.172,29.4,64.54
3615,116.7,0.399,29.39,64.46
3620,121.5,0,29.41,64.43
3625,121.5,0,29.41,64.48
3630,116.7,0,29.4,64.58
3635,116.7,0.165,29.39,64.46
3640,121.5,0.202,29.42,64.4
3645,116.7,0.247,29.4,64.5
3650,121.5,0.219,29.41,64.48
3655,121.5,0.34,29.4,64.39
3660,116.7,0,29.37,64.48
3665,116.7,0,29.39,64.48
3670,121.5,0,29.39,64.45
3675,116.7,0,29.43,64.39
3680,121.5,0.13,29.42,64.43
3685,116.7,0,29.43,64.56
3690,121.5,0,29.44,64.51
3695,107.8,0,29.39,64.42
3700,112.2,0.487,29.38,64.41
3705,116.7,0,29.43,64.36
3710,116.7,0,29.4,64.47
3715,116.7,0,29.4,64.37
3720,116.7,0.179,29.42,64.51
3725,107.8,0,29.39,64.38
3730,116.7,0.194,29.43,64.43
3735,116.7,0.115,29.4,64.49
3740,112.2,0,29.39,64.44
3745,116.7,0.13,29.44,64.34
3750,112.2,0.247,29.41,64.32
3755,116.7,0,29.38,64.47
3760,112.2,0.571,29.4,64.32
3765,112.2,0.595,29.44,64.39
3770,112.2,0.141,29.37,64.42
3775,112.2,0.141,29.39,64.43
3780,112.2,0,29.43,64.3
3785,112.2,0,29.43,64.35
3790,116.7,0,29.43,64.22
3795,112.2,0.278,29.42,64.43
3800,112.2,0.237,29.39,64.4
3805,116.7,0.194,29.41,64.33
3810,112.2,0.228,29.4,64.39
3815,107.8,0,29.38,64.4
3820,107.8,0.13,29.42,64.34
3825,112.2,0,29.41,64.29
3830,112.2,0.21,29.46,64.29
3835,103.5,0,29.42,64.41
3840,107.8,0.368,29.4,64.42
3845,107.8,0.141,29.44,64.33
3850,107.8,0,29.38,64.33
3855,107.8,0,29.39,64.35
3860,112.2,0.159,29.42,64.35
3865,107.8,0,29.41,64.28
3870,103.5,0,29.38,64.3
3875,103.5,0.571,29.36,64.31
3880,107.8,0.102,29.46,64.35
3885,107.8,0,29.42,64.26
3890,103.5,0,29.43,64.26
3895,103.5,0.13,29.42,64.3
3900,107.8,0.247,29.38,64.24
3905,103.5,0.527,29.44,64.25
3910,107.8,0,29.4,64.31
3915,103.5,0.399,29.41,64.23
3920,103.5,0,29.46,64.28
3925,103.5,0.237,29.41,64.22
3930,103.5,0.289,29.41,64.25
3935,99.5,0.353,29.41,64.27
3940,107.8,0,29.42,64.27
3945,103.5,0,29.44,64.21
3950,107.8,0,29.41,64.18
3955,107.8,0.111,29.42,64.26
3960,107.8,0,29.41,64.25
3965,107.8,0.313,29.39,64.25
3970,103.5,0.237,29.4,64.25
3975,103.5,0,29.4,64.24
3980,107.8,0.186,29.44,64.28
3985,107.8,0.368,29.4,64.21
3990,99.5,0,29.41,64.23
3995,95.6,0,29.43,64.19
4000,99.5,0.102,29.44,64.24
4005,103.5,0.247,29.44,64.18
4010,99.5,0,29.41,64.2
4015,95.6,0.141,29.43,64.14
4020,95.6,0,29.45,64.07
4025,95.6,0,29.44,64.24
4030,103.5,0.313,29.4,64.18
4035,99.5,0,29.42,64.23
